Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Latent View Analytics Ltd,23-Nov-21,197,530,385.15,95.51
One 97 Communications Ltd,18-Nov-21,2150,1955,684.85,-68.15
Sapphire Foods India Ltd,18-Nov-21,1180,1311,337.75,-71.38
Suyog Gurbaxani Funicular Ropeways Ltd,16-Nov-21,45,45.45,163.8,264
PB Fintech Ltd,15-Nov-21,980,1150,1397.8,42.63
S J S Enterprises Ltd,15-Nov-21,542,540,925.95,70.84
Sigachi Industries Ltd,15-Nov-21,163,575,40.51,-75.15
Fino Payments Bank Ltd,12-Nov-21,577,548,218.91,-62.06
Nidan Laboratories & Healthcare Ltd,12-Nov-21,125,123.9,21.65,-82.68
FSN E-Commerce Ventures Ltd,10-Nov-21,1125,2001,164.79,-85.35
Kotyark Industries Ltd,02-Nov-21,51,51,517.45,914.61
D.K. Enterprises Global Ltd,22-Oct-21,40,42,64.25,60.63
AFLOAT Enterprises Ltd,13-Oct-21,11,12,16.53,50.27
Dynamic Services & Security Ltd,13-Oct-21,51,53,159,211.76
CWD Ltd,13-Oct-21,180,180.9,931.05,417.25
Promax Power Ltd,12-Oct-21,10,11,34.09,240.9
Bombay Metrics Supply Chain Ltd,12-Oct-21,93,98.3,51.8,-44.3
